Trial ID,test loss,test accuracy,test one shot accuracy,val loss,val accuracy,val one shot accuracy,train loss,train accuracy,learning_rate,dense_layer_size,enable_batch_normalization,bias_initializer,conv2D_kernel_initializer,dense_kernel_initializer,dropout_rate,distance_metric,l2_regularizer,optimizer
b33f90162bcacd6036f4ba7afce2a244,0.5333889126777649,0.7570000290870667,0.658,0.529366135597229,0.7636363506317139,0.6818181818181818,0.18144069612026215,1.0,5e-05,1028,0,default,default,he_normal,0.5,abs,-1.0,RMSprop
b43595d86dab64793575d70957fe4b2a,0.5325668454170227,0.7559999823570251,0.654,0.528827428817749,0.7636363506317139,0.6863636363636364,0.17491957545280457,1.0,5e-05,1028,0,default,he_normal,he_normal,0.0,abs,-1.0,RMSprop
6e35e213fac1f40c1c86baabb7e7a509,0.5335919260978699,0.7549999952316284,0.648,0.5294355750083923,0.7636363506317139,0.6909090909090909,0.18186752498149872,1.0,5e-05,1028,0,default,he_normal,he_normal,0.5,abs,-1.0,RMSprop
63a9c6821d453afa190f1d432ba31657,0.5597572922706604,0.7400000095367432,0.654,0.562243640422821,0.7295454740524292,0.6318181818181818,0.31054332852363586,0.9869318008422852,5e-05,1028,0,default,he_normal,he_normal,0.5,abs,-1.0,RMSprop
49b0a6e67b1aaf4b1e79f9be75a5109d,0.5336183905601501,0.7570000290870667,0.652,0.5299547910690308,0.7590909004211426,0.6772727272727272,0.18274636566638947,1.0,5e-05,1028,0,default,he_normal,he_normal,0.5,abs,-1.0,RMSprop
bbcf2ea7c8891bfbbd7302bdf15da276,0.535672128200531,0.7570000290870667,0.652,0.5326840281486511,0.7590909004211426,0.6772727272727272,0.19461503624916077,0.9994317889213562,5e-05,1028,0,default,he_normal,he_normal,0.5,abs,-1.0,RMSprop
a81da4f5468bfcd2e869c1b7db335aa8,0.5543808341026306,0.7179999947547913,0.604,0.5355998873710632,0.7590909004211426,0.6318181818181818,0.19270895421504974,1.0,5e-05,1028,1,zeros,default,he_normal,0.0,abs,-1.0,adam
d50b3cd63906bc009033fc199e90dca3,0.5546943545341492,0.7179999947547913,0.602,0.5380975008010864,0.7568181753158569,0.6318181818181818,0.19990532100200653,1.0,5e-05,1028,1,zeros,default,he_normal,0.5,abs,-1.0,RMSprop
0e9d9e7e6d1d76831f00806502f894cb,0.5597585439682007,0.746999979019165,0.648,0.5600656270980835,0.7340909242630005,0.6181818181818182,0.3125637173652649,0.9892045259475708,5e-05,1028,1,default,he_normal,he_normal,0.5,abs,-1.0,adam
b048c53e2a1de7cef4de869cbc313bd5,0.5431435704231262,0.7519999742507935,0.648,0.5390411019325256,0.7568181753158569,0.6727272727272727,0.23134411871433258,0.9988636374473572,5e-05,1028,1,default,he_normal,he_normal,0.0,abs,-1.0,adam
